12:04, Wednesday, June 10, 2015
Study name: Static 2
Units :N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
186  ,-4.70018e+003  ,3.90847e+001  ,5.05821e+001  ,-1.56407e+002  ,1.88885e+002  ,-1.20443e+001
187  ,-6.17651e+003  ,7.47146e+002  ,5.15372e+002  ,1.68113e+002  ,3.17738e+002  ,-1.06700e+002
188  ,1.21461e+003  ,9.11390e+000  ,1.48882e+002  ,-2.12631e+001  ,-4.19037e+002  ,4.35224e+000
189  ,1.16158e+003  ,9.28444e+000  ,4.50743e+002  ,-7.81415e+001  ,-3.33448e+002  ,1.59352e+001
190  ,1.10882e+003  ,2.03452e+001  ,7.26177e+002  ,-7.09967e+001  ,-2.21174e+002  ,8.72863e+000
191  ,1.07490e+003  ,9.94478e+000  ,8.87423e+002  ,-6.64197e+001  ,-1.04190e+002  ,1.03238e+000
192  ,1.07705e+003  ,3.10364e+001  ,9.56714e+002  ,-9.16190e+001  ,1.23351e+000  ,4.55858e+000
193  ,1.09850e+003  ,2.89521e+001  ,8.96512e+002  ,-8.93542e+001  ,1.08074e+002  ,-1.97544e+000
194  ,1.14034e+003  ,2.66827e+001  ,7.26594e+002  ,-8.83213e+001  ,2.19946e+002  ,-6.69906e+000
195  ,1.16645e+003  ,1.74834e+001  ,4.62684e+002  ,-5.72130e+001  ,3.34570e+002  ,-1.13322e+001
196  ,1.20643e+003  ,7.61331e+000  ,1.52121e+002  ,-2.17418e+001  ,4.18678e+002  ,-1.02675e+001
197  ,-3.63248e+002  ,3.40911e+000  ,6.63703e+001  ,-1.25900e+001  ,-5.29960e+002  ,3.78619e+000
198  ,-3.96230e+002  ,7.84237e+000  ,2.41737e+002  ,-9.69256e+001  ,-4.43407e+002  ,7.90294e+000
199  ,-4.43497e+002  ,9.94964e+000  ,4.16989e+002  ,-6.61202e+001  ,-2.98641e+002  ,4.93322e+000
200  ,-4.74128e+002  ,1.56060e+001  ,5.26397e+002  ,-7.79188e+001  ,-1.40424e+002  ,7.25131e+000
201  ,-4.23434e+002  ,1.51707e+000  ,5.70656e+002  ,-8.49006e+001  ,-1.08742e+000  ,2.35336e+000
202  ,-4.47760e+002  ,6.96457e+000  ,5.35601e+002  ,-5.40959e+001  ,1.47162e+002  ,8.98624e-001
203  ,-4.11620e+002  ,1.08656e+000  ,4.22639e+002  ,-6.47398e+001  ,2.98568e+002  ,-2.09876e+000
204  ,-3.91865e+002  ,3.20410e+000  ,2.47246e+002  ,-5.09198e+001  ,4.45833e+002  ,-9.92992e+000
205  ,-3.74186e+002  ,1.72517e+000  ,6.80207e+001  ,-1.24687e+001  ,5.33080e+002  ,-5.31665e+000
206  ,-1.91953e+003  ,-4.05524e+000  ,1.96256e+001  ,-3.16648e+000  ,-5.93747e+002  ,1.91001e+000
207  ,-1.93336e+003  ,2.62941e+000  ,9.40028e+001  ,-7.38863e+001  ,-5.17313e+002  ,6.91918e-001
208  ,-1.97701e+003  ,-1.95266e+000  ,1.58163e+002  ,-5.15419e+001  ,-3.52440e+002  ,-2.02271e+000
